loss: 0.6980248698592186 , acc: 0.52
loss: 0.6777614741027356 , acc: 0.55
loss: 0.6922422786056995 , acc: 0.54
loss: 0.6922065000981092 , acc: 0.545
loss: 0.6702124938368798 , acc: 0.545
loss: 0.6175765914469957 , acc: 0.575
loss: 0.5427850360050798 , acc: 0.725
loss: 0.4708027321845293 , acc: 0.8
loss: 0.4328242897707969 , acc: 0.81
loss: 0.3830614792695269 , acc: 0.835
loss: 0.3734104093327187 , acc: 0.83
loss: 0.37115762376226485 , acc: 0.845
loss: 0.3682838246156461 , acc: 0.87
loss: 0.3441328100138344 , acc: 0.865
loss: 0.3504753345297649 , acc: 0.905
loss: 0.326159388810629 , acc: 0.9
loss: 0.3332962473976659 , acc: 0.915
loss: 0.3345803799584974 , acc: 0.91
loss: 0.321750415386341 , acc: 0.91
loss: 0.3386729942687816 , acc: 0.915
loss: 0.33709578466863604 , acc: 0.905
loss: 0.3194484527225723 , acc: 0.91
loss: 0.3546361087320838 , acc: 0.905
loss: 0.34233809705270685 , acc: 0.905
loss: 0.3134785162189655 , acc: 0.915
loss: 0.35315795508620795 , acc: 0.905
loss: 0.35858756488480137 , acc: 0.91
loss: 0.3412434663395834 , acc: 0.915
loss: 0.35097523730681135 , acc: 0.91
loss: 0.3477875927808782 , acc: 0.905
loss: 0.33107396428513314 , acc: 0.91
loss: 0.36404524214874984 , acc: 0.91
loss: 0.3087102192142629 , acc: 0.91
loss: 0.35828984091847815 , acc: 0.92
loss: 0.31892942790282175 , acc: 0.93
loss: 0.3679554792877752 , acc: 0.915
loss: 0.3259967416257132 , acc: 0.92
loss: 0.3196346653825276 , acc: 0.915
loss: 0.3428937750839941 , acc: 0.915
loss: 0.3363392883470078 , acc: 0.92
loss: 0.3342085772693099 , acc: 0.915
loss: 0.332636466328222 , acc: 0.935
loss: 0.34004079075595656 , acc: 0.915
loss: 0.3176683566419342 , acc: 0.92
loss: 0.31744482469102875 , acc: 0.935
loss: 0.3185346359981668 , acc: 0.935
loss: 0.30740090143064663 , acc: 0.93
loss: 0.3186341527803188 , acc: 0.925
loss: 0.3276168192329169 , acc: 0.93
loss: 0.32277035726783654 , acc: 0.93
loss: 0.3174367626019739 , acc: 0.925
loss: 0.3184822846804673 , acc: 0.93
loss: 0.30294931760228794 , acc: 0.92
loss: 0.29720749399626584 , acc: 0.935
loss: 0.3250569947639633 , acc: 0.925
loss: 0.3384340091104059 , acc: 0.92
loss: 0.3000861258691293 , acc: 0.925
loss: 0.31829800132485614 , acc: 0.93
loss: 0.33590467193030693 , acc: 0.93
loss: 0.3095103980859153 , acc: 0.92
